ID,Avg ADI,Max ADI,Min ADI,SVI1,SVI3,SVI4,SVI,MDI
038182019,74.83333333,100,43,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
066832017,66.14285714,93,49,0.281248276,0.281334483,0.50802069,0.375465517,14.16
001932020,73.85714286,86,60,0.530916667,0.093941667,0.610875,0.513091667,14.16
080992020,46.5,83,27,0.233686957,0.196252174,0.383752174,0.25236087,14.16
092412019,85.1,97,70,0.71088,0.08204,0.60966,0.62868,14.16
031892017,51.8125,88,35,0.520988889,0.158866667,0.426077778,0.414422222,14.16
022612019,65.13333333,90,42,-20.12283663,-16.09514568,-24.2851358,-28.37673745,15.39
020272020,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
081022017,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
088982019,69,84,52,0.520988889,0.158866667,0.426077778,0.414422222,14.16
057822017,71.83870968,100,36,0.281248276,0.281334483,0.50802069,0.375465517,14.16
035822017,51.8125,88,35,0.520988889,0.158866667,0.426077778,0.414422222,15.39
071132021,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
048272019,34.46153846,96,15,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
047702019,42.375,95,17,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
077642018,82.83333333,94,66,0.568536364,0.120554545,0.512072727,0.508172727,14.16
004292019,56.5,87,39,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
004452020,83.88888889,97,58,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
034092019,58.13333333,100,37,0.459538,0.15345,0.390582,0.377176,14.16
052432020,74.77272727,100,52,0.491384615,0.126715385,0.580538462,0.468,15.39
045942018,75.33333333,96,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
078842021,61.58823529,81,47,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
030552019,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,15.39
073102017,75.57894737,95,47,0.6481625,0.0942,0.51075,0.5544,14.16
075392019,87.125,97,77,0.71088,0.08204,0.60966,0.62868,15.39
045622019,63.47058824,88,43,0.281248276,0.281334483,0.50802069,0.375465517,14.16
066632019,60,86,49,0.281248276,0.281334483,0.50802069,0.375465517,15.39
060882018,37.75,49,28,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
014782020,81.55555556,100,49,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
022922017,61.48275862,100,26,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
003842018,55.67741935,92,22,0.233686957,0.196252174,0.383752174,0.25236087,14.16
044562021,51.28571429,98,10,0.338725806,0.222064516,0.459270968,0.3231,14.69
054622019,84.6,99,62,-35.23665595,-23.3116881,-94.64645238,-94.70366905,14.16
000142021,43.42307692,79,19,-16.84582286,-16.71692314,-19.66273686,-19.6968,14.16
091832018,46.5,83,27,0.233686957,0.196252174,0.383752174,0.25236087,15.39
006532018,76.56666667,100,35,0.459538,0.15345,0.390582,0.377176,14.16
042842018,59.56521739,90,28,-16.84582286,-16.71692314,-19.66273686,-19.6968,15.39
032462019,73.60714286,93,51,0.320495238,0.160247619,0.459319048,0.325161905,14.16
044712019,61.9375,99,38,0.281248276,0.281334483,0.50802069,0.375465517,14.16
057062020,85.75,100,64,-14.36058806,-14.49820224,-14.44270075,-14.38701269,14.16
005692018,83.42307692,100,66,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
026592017,70.52173913,96,42,-20.12283663,-16.09514568,-24.2851358,-28.37673745,14.16
047902019,82,93,76,0.432283333,0.07975,0.568616667,0.432433333,14.16
069742021,69.9,100,35,0.459538,0.15345,0.390582,0.377176,14.16
